Cell,X,Y
Cell73174,-9191.282340611815,-7332.524148754437
Cell73283,16582.9196309491,-13587.086680364322
Cell73433,24634.50853025837,-6648.485026317919
Cell73520,-4328.013737723196,-732.5826996490387
Cell73530,-3713.2825816774566,-12507.304385524949
Cell73532,5932.525546265923,37954.131037535466
Cell74393,7061.438879740778,-12924.711216106407
Cell74629,6225.806426004163,-12138.062423836882
Cell74785,1820.278652199343,359.47747992968846
Cell75020,-14630.107438170877,2740.5851707251973
Cell75184,23511.731401964364,-6108.7616912538
Cell75445,368.1154921390155,-7663.3495754990345
Cell75523,10131.540169779326,-341.46976975307825
Cell75690,-9195.561224252351,-8400.036024994313
Cell75824,85.69129990314273,-6152.712570022015
Cell75837,1096.8721381197593,5573.149462704002
Cell76115,-5564.756969590705,-8136.3398051507265
Cell76296,6312.612184049297,-13333.156928554194
Cell76647,3603.7513402146838,-12532.354194224981
Cell76931,10202.410273176925,-10043.852543757232
Cell77681,-4586.508699839458,-8825.20611574018
Cell77854,-10507.259001118213,-4576.000988845123
Cell77966,2848.9727184525027,37637.880939402865
Cell78005,3568.2406008550365,5974.618074997715
Cell78340,16252.268091216893,-5768.996863636744
Cell78602,5692.306551815705,-14565.167461712137
Cell78621,8074.006058694556,-10888.777897238611
Cell79361,17256.17019629607,2268.0434992127393
Cell79864,8794.624857662537,38071.21400302657
Cell79940,11106.708260241681,1801.9903079652734
Cell79996,7198.170492230268,34364.70723328505
Cell80314,-2972.592709841398,17151.53773846325
Cell80481,-622.4205124571446,25822.298923136786
Cell80765,-15052.929619692663,-649.7277255471552
Cell80982,14204.113406509734,-1826.0037103605277
Cell81156,3611.6105535841352,37839.319797875134
Cell81446,-7702.648264937527,-8505.65428280623
Cell82336,23884.297065955423,-6805.53203726226
Cell82452,-13497.162945211692,-167.07413033637235
Cell82493,3600.442987525684,-12137.75423147494
Cell82892,6153.570196438443,34078.261141904695
Cell82961,8586.369769058398,-15046.447431030092
Cell83883,-5951.425255232802,8071.552266989689
Cell84062,3932.4854860857936,-4372.599768919632
Cell84760,-2427.373733941412,-7757.897611520634
Cell85180,15224.91427717263,-10971.589445763215
Cell85241,-4011.169767120454,1644.0047396828918
Cell85425,-6157.704160274775,8265.696446882255
Cell85637,-1797.173314186119,6919.3689875847
Cell85644,10302.245746917004,-10808.176643993505
Cell86874,5383.248621342631,16618.294879331923
Cell87040,-3669.2561407181397,-12420.229779443669
Cell87198,-6481.268780177893,1898.6332546472956
Cell87735,4093.9217408115796,-13232.41891210837
Cell88361,-2285.8907828368915,8150.000479246259
Cell88393,6622.779412780117,-13992.449751453478
Cell89672,-5160.268800419213,9548.250076377253
Cell89839,22018.313867412995,-5155.281975733712
Cell90380,-3489.230227838251,-8087.327220880433
Cell90674,-750.0316048396232,34391.066805230024
Cell91081,4470.243907720688,-15152.191789607725
Cell91264,10934.341110139745,-9082.13542456871
Cell91646,-13474.587228697314,6490.631388834681
Cell91994,8781.629616706707,35474.53061293254
Cell92208,-8384.265727698672,10949.502898141212
Cell92317,8239.005270600213,-10845.731633365353
Cell92388,-1337.7315537788504,12044.520642833317
Cell92507,5096.486363079512,-9721.664124463156
Cell92768,-6009.063811139061,-5676.816672492856
Cell92861,3174.070617010242,5810.6970383107255
Cell94224,3438.86794700201,31243.872449524246
Cell94249,-4744.092682129987,-5517.139641414313
Cell94265,-652.2078473770974,27279.23023755351
Cell94332,-1584.7946259163048,27375.237730827223
Cell94687,2011.0533180887355,-14854.982954773628
Cell95372,-11077.020248588899,-5449.256239413751
Cell95733,2177.3382871811964,6393.679085272971
Cell96119,2627.116632065043,38230.00602890904
Cell96731,2230.634758969949,-16131.228810272836
Cell96741,5188.212068893869,-12916.274683336878
Cell97417,-11786.384032483362,-4412.511195559488
Cell97466,-5902.361503649275,-12491.49406183808
Cell97583,4737.988519371968,-10970.818636410402
Cell97701,3459.331555259028,-12263.564035967192
Cell97865,-14356.966096421278,-3042.9100438546934
Cell97935,-8587.24316842193,-2570.698166297182
Cell98360,-7991.6912413997225,-8814.843169767297
Cell98730,8398.810351426153,38136.073931718296
Cell98773,-7850.8929642075955,18639.135244158242
Cell98878,15852.102845002235,-9480.736432706952
Cell98961,25257.75600650132,-7724.275627153077
Cell99098,7795.889082941762,-3422.336964224966
Cell99124,2466.861336131095,37757.113862385915
Cell99337,10263.888268503735,-9868.565370315822
Cell99577,-11593.623825664255,873.4783105762342
Cell99647,-14463.912022734852,-234.56383307040943
Cell100017,-2263.699366954511,8609.66536766089
Cell100286,9040.426641107495,-9550.661060703249
Cell101680,-12541.449191008307,9568.830579280233
Cell102327,23249.359514858883,-5930.252644692245
Cell102361,2829.2999117598483,-5250.591866738601
Cell102625,15378.844216210842,-8598.426943923698
Cell102863,8531.110369950393,35566.68278068603
Cell103051,1493.873372753457,-10471.586931591293
Cell103311,-3619.267256875724,-8010.858514211217
Cell103425,17446.033488033543,-14964.211757652287
Cell103547,-8300.679553721866,-3539.6477187149835
Cell104264,12202.004409783378,3150.408588606985
Cell104490,11923.82868148441,1445.7963432238741
Cell104740,5471.1285759827915,-13882.685752412768
Cell104803,5193.563015051538,-14384.42433748615
Cell104820,-10547.384771327399,-8020.981225402893
Cell105265,9239.237216255822,-12438.671845112154
Cell105433,12162.228617843672,9381.165161524108
Cell105452,-12016.48610709716,-5831.109146013702
Cell105519,-1146.506473026356,7321.33733459623
Cell105836,3956.4466539535356,-14776.092040622581
Cell106019,15452.490362891469,2292.5517350806913
Cell106424,18005.87559340317,1301.1363030291589
Cell106473,4864.05951629988,-16488.005588854317
Cell106475,3386.709340534758,-15055.052373862678
Cell106523,6118.2853270602,-6483.406631524495
Cell106721,-1308.310756272677,-5060.940640380705
Cell106753,-6135.82941778798,-12190.69193401392
Cell107749,5141.789554021851,32054.488945905836
Cell107842,-8735.756137631472,-7161.3651660939
Cell108045,2189.230534557592,4605.135348003487
Cell108484,6357.169777748242,-14873.044647312394
Cell109526,-8136.962791906756,9814.841667521849
Cell109945,5360.2057544424815,-6545.132848187456
Cell109948,2669.471021271608,36369.17607578618
Cell110074,20004.509945696365,-5012.750023020772
Cell110183,-14229.058547472227,-1053.4469442321642
Cell110235,24587.411076259767,-6758.783786225509
Cell110345,4566.536610608305,3053.815621436383
Cell110487,-1074.5907691784194,-6035.694921813385
Cell110652,-2289.3786194943573,6569.999081522591
Cell110659,-13100.476321911316,2064.4512403638587
Cell110894,-1811.6656761972908,-11884.226023268913
Cell110993,-2349.822306766378,-2895.013958059709
Cell111247,8276.350104759556,-6742.982902525842
Cell111443,7128.296937879215,-10526.368302974372
Cell111700,2992.094811117725,-5201.980965007456
Cell112159,9666.133943585088,-15835.79362414259
Cell112384,-1877.6200052342688,30143.744908423676
Cell112424,-7486.481310113929,10318.192476360953
Cell112635,6001.961134243088,2387.803839312657
Cell113264,-10159.709105510248,-3767.8508250731416
Cell114403,-14852.344727207726,2610.7359300145586
Cell114512,-13209.81840337259,4223.526582830849
Cell114703,116.1111619825735,26234.34922211698
Cell115215,-7292.408037339339,-8519.140941807927
Cell115261,5086.890628259834,-12911.969624681697
Cell115304,-5936.19869242923,8887.404896982627
Cell116123,-1517.0002361971435,32729.341108376808
Cell116126,18649.893574762973,-11084.270246853925
Cell116346,18231.773236772777,-3859.0060332621065
Cell117082,20015.883703340307,-4826.024513173599
Cell117397,-840.4988542920128,28195.854424163084
Cell117952,-11609.354703424371,2318.225140871184
Cell118036,19865.3489327927,-12952.081303766241
Cell118112,11994.747493077997,-9176.854813724924
Cell118877,-5664.938052839699,-10618.10784360339
Cell118884,15260.755908423,-7148.454584203804
Cell118893,14975.894173765473,-15324.640007218275
Cell119012,6133.470283053081,-14488.686341914232
Cell119127,-11936.722467038302,-4996.280876069279
Cell119630,23037.251047295576,-5888.036751720602
Cell119980,11652.335992759985,-9052.550943299177
Cell120011,12146.175932136652,-15838.603557374823
Cell120021,16856.602638655648,2467.216741488773
Cell120038,5621.933813984021,-7687.290182922472
Cell120073,2423.4736076494,37828.67848921811
Cell120075,6156.570472190321,2713.776716268755
Cell120406,9561.771086419625,-9856.80204929415
Cell121019,-11329.58048658997,-7851.518987262995
Cell121202,2250.9884536753552,36379.71141769085
Cell121681,13038.071388640563,-14364.83021598335
Cell121850,3199.307060806076,-16402.734842547397
Cell122102,3603.411695201017,3660.626832803714
Cell122544,-8344.611988862815,-8087.58274938894
Cell122867,-708.3142046071281,27203.7539239747
Cell123376,-13805.016410251517,3122.58244863545
Cell123519,-13161.803401475066,365.5658951813043
Cell123565,-9167.50550031403,-8435.36814139941
Cell123676,-13437.659994790754,-5880.590802714999
Cell124048,24668.08227031627,-8322.134843353122
Cell124758,15491.26014042592,-3500.067411903155
Cell124945,6512.38199131664,-11550.040264575664
Cell125025,-169.5930892939405,-11666.352150162704
Cell125159,12841.502649838909,-8007.990081706589
Cell125230,-1859.8700192970794,-11370.451837413137
Cell125354,1687.2933628776248,37062.559888285236
Cell125504,4427.347471173955,-14087.509881023692
Cell125611,8396.188096323456,-8353.114179006108
Cell125645,5574.381952302791,-11437.712075990834
Cell125659,10331.139496182495,-14086.963038110644
Cell125706,-1920.50568641504,-11536.941598621028
Cell125715,-7524.68770491756,-5202.184936490002
Cell125925,1128.3427633673978,-3656.2086442867485
Cell126363,-5251.1473130796585,-3564.365443103939
Cell126501,973.5596446470727,-11386.685504917074
Cell126745,12803.027077918674,-17047.007129777867
Cell126997,-533.5464649953032,-13293.244123857603
Cell127848,1724.5211975240256,-10953.503716695917
Cell128062,-8183.9981434012625,17907.920885164604
Cell128190,6028.255348984396,-12065.922097999852
Cell128305,1093.0126521074212,3715.4457454155513
Cell128307,8801.884371329455,-5034.2543476813125
Cell128711,3580.7130478252043,-12891.93082502575
Cell129001,20148.14329394464,-5102.407098690254
Cell129164,7400.0880472058,-16467.487596347797
Cell129446,9324.5450600693,-124.75914928339418
Cell129578,8207.68222649793,34901.95473664655
Cell129735,1031.4586100550919,35877.81141111583
Cell130085,4460.832518838884,-11973.359580591754
Cell130555,2625.1460697476045,37906.380349718595
Cell131087,1643.2713465787842,-13192.133457289412
Cell131223,-13110.586000081114,-3841.483790301792
Cell131254,22509.066824892405,-11837.235331521708
Cell131592,19089.56217725348,-6567.380103065343
Cell131906,-2026.3262927860446,30951.021946103265
Cell132787,18513.577695706113,1271.504268033307
Cell133033,13201.665708512217,-15454.787039357725
Cell133038,-12377.238117762008,12376.3608988765
Cell133054,7370.980383761195,-9391.583862922667
Cell133067,19241.745440736366,-5643.870570119835
Cell133128,-2613.523851955648,-5599.658070698918
Cell133188,8950.136199209168,-10290.451808272333
Cell133719,-1764.8492228930759,-14291.724828892173
Cell133927,5010.405870568768,-5885.630380648297
Cell134333,9630.566766735195,-8927.771824374518
Cell134604,-8829.834792057143,-9140.646106925942
Cell134651,1777.4598113162353,29265.236160068147
Cell135033,-11973.728831966026,-4800.5473828435515
Cell135130,6486.039747004972,-8011.99885619204
Cell135385,-15183.068577864553,-577.0613684026137
Cell136038,-9014.059498838476,-7878.858078187608
Cell136395,4190.182410686222,32307.926292646473
Cell136749,11203.393739405345,-15988.476757523726
Cell137455,-12855.771563101289,-2100.9744998766105
Cell138296,-374.3194742595383,-14654.740307424883
Cell138527,-6163.101655284856,23208.974443131672
Cell138537,23850.06601986822,-10989.223467585085
Cell138786,2211.385158900681,503.3154110020996
Cell138830,10261.363195310461,-6318.67793537897
Cell138912,3729.556568893446,2727.003012897073
Cell139009,1807.6977438341514,22896.199437788186
Cell139066,13292.32808784461,-9332.325788511187
Cell139068,-9352.435316856701,7301.409117882133
Cell139274,-892.9936537172194,14412.242097886226
Cell139809,-8779.285772108724,14044.639262708106
Cell140277,1354.5924045293905,36995.707031537124
Cell140399,5309.9760547713595,-10410.439216561586
Cell140897,-1549.866465409409,8622.806516308377
Cell141215,21522.350306730044,-13419.081597119915
Cell141233,-244.89069923646193,35440.13181657511
Cell141690,-1099.9701098313822,-8289.053083698922
Cell142021,5894.7563889080775,38362.33078779327
Cell142092,-11391.737787352242,-1623.886845352751
Cell142400,-4971.365160350042,-9266.677272946816
Cell142636,13438.968458393907,-13952.513656958965
Cell142667,-9357.605074767414,-7594.771443860043
Cell142807,22910.945093131486,-12701.2896955797
Cell142815,-1260.86656356349,33855.381331427576
Cell143245,-688.6752927487524,-13954.483858707326
Cell143548,-8120.037829315278,-5398.568575165927
Cell144134,-2458.654992384408,26605.389893240907
Cell144569,14206.875399601817,-15789.237472092896
Cell144813,-5655.132533161844,23074.957016045566
Cell144892,745.3057230215459,-10971.248613264574
Cell144936,-8458.740963086333,19348.45098642607
Cell145044,-11052.243589066018,-2038.105618180989
Cell145098,17338.289941322568,-4196.842409878201
Cell145384,1244.2049636439058,-11835.317866122778
Cell145506,20715.87719181425,-13305.953761532024
Cell146472,-9798.063319242336,17228.095926062575
Cell146499,9342.204532198872,-1143.123885860627
Cell146567,14634.924780079358,-15297.961153380178
Cell147286,-2531.748322196464,-11544.50942393233
Cell147432,1198.7396944755365,30306.220738561304
Cell147446,-1650.6415264704913,30844.641125902675
Cell147631,-14592.029011015244,3368.092716579056
Cell147724,-13605.736259380474,8769.122838652302
Cell147868,-849.3431985982653,-9634.303765803374
Cell148405,-6233.861650363951,-3789.6023207839407
Cell148594,2857.9808941058272,-6701.999143749737
Cell148922,-5306.828980894037,-8960.908178656096
Cell148994,6836.543217992195,34521.68614122401
Cell149097,8050.940474140371,-15079.418870647187
Cell149215,5404.259811672812,-4339.0924310547925
Cell149814,11054.49193746958,11141.664739683873
Cell150131,8396.912963822335,-15418.678719871064
Cell150170,16491.729077628446,-14913.46473725173
Cell150173,8818.774189107884,-16745.356475327735
Cell150401,21084.05236430123,-11261.238170457795
Cell150435,-521.1077681287145,-12449.103215858195
Cell150751,-5785.542140151131,-10286.571901423777
Cell150808,-12556.250538117867,0.9348101764681629
Cell151290,-3078.8051789853266,8689.335962723913
Cell151476,5433.95913554772,-5177.9683205543415
Cell151508,1574.3581286044696,-11767.103276415757
